Initializing module baselineTestQoS.hostSSH[14].ipv4.igmp, stage 12
[WARN]	   - Inner feed for priority 4:  Next to dequeue: None
[WARN]	   - Inner feed for priority 5:  Next to dequeue: None
[WARN]	   - Inner feed for priority 6:  Next to dequeue: None
[WARN]	   - Inner feed for priority 7:  Next to dequeue: None
[WARN]	Dequeue - The class to dequeue (level = 0; priority = 0) yielded a valid queue number 36 for dequeuing!
[WARN]	Dequeue - Queue index to dequeue returned: 36
** Event #395  t=0.015705733228  0% completed  (0% total)   baselineTestQoS.router1.ppp[0].ppp (Ppp, id=20294)
[WARN]	Curr num packets to dequeue: 0; All packets: 0; Possible to dequeue: 
** Event #396  t=0.015709782678  0% completed  (0% total)   baselineTestQoS.router1.ppp[0].ppp (Ppp, id=20294)
** Event #397  t=0.015709782678  0% completed  (0% total)   baselineTestQoS.router0.ppp[0].ppp.queue.scheduler (HTBScheduler, id=17724)
[WARN]	Class mode should change from red now!
[WARN]	Curr num packets to dequeue: 0; All packets: 1; Possible to dequeue: 
[WARN]	Next Event will be scheduled at 0.015809782678
** Event #398  t=0.015709782678  0% completed  (0% total)   baselineTestQoS.router1.ipv4.ip (Ipv4, id=20762)
** Event #399  t=0.015709782678  0% completed  (0% total)   baselineTestQoS.router1.ppp[1].ppp (Ppp, id=20725)
** Event #400  t=0.015709980278  0% completed  (0% total)   baselineTestQoS.router1.ppp[1].ppp (Ppp, id=20725)
** Event #401  t=0.015710080278  0% completed  (0% total)   baselineTestQoS.serverVID.ppp[0].ppp (Ppp, id=20807)
** Event #402  t=0.015710080278  0% completed  (0% total)   baselineTestQoS.serverVID.ipv4.ip (Ipv4, id=20820)
** Event #403  t=0.015710080278  0% completed  (0% total)   baselineTestQoS.serverVID.tcp (Tcp, id=20800)
** Event #404  t=0.015710080278  0% completed  (0% total)   baselineTestQoS.serverVID.app[0] (TcpGenericServerApp, id=20802)
** Event #405  t=0.015710080278  0% completed  (0% total)   baselineTestQoS.serverVID.ipv4.ip (Ipv4, id=20820)
** Event #406  t=0.015710080278  0% completed  (0% total)   baselineTestQoS.serverVID.tcp (Tcp, id=20800)
** Event #407  t=0.015710080278  0% completed  (0% total)   baselineTestQoS.serverVID.ppp[0].ppp (Ppp, id=20807)
** Event #408  t=0.015710080278  0% completed  (0% total)   baselineTestQoS.serverVID.ipv4.ip (Ipv4, id=20820)
** Event #409  t=0.015710080278  0% completed  (0% total)   baselineTestQoS.serverVID.ppp[0].ppp (Ppp, id=20807)
** Event #410  t=0.015710117878  0% completed  (0% total)   baselineTestQoS.serverVID.ppp[0].ppp (Ppp, id=20807)
** Event #411  t=0.015710217878  0% completed  (0% total)   baselineTestQoS.router1.ppp[1].ppp (Ppp, id=20725)
** Event #412  t=0.015710217878  0% completed  (0% total)   baselineTestQoS.router1.ipv4.ip (Ipv4, id=20762)
** Event #413  t=0.015710217878  0% completed  (0% total)   baselineTestQoS.router1.ppp[0].ppp (Ppp, id=20294)
[WARN]	Curr num packets to dequeue: 0; All packets: 0; Possible to dequeue: 
[FATAL]	Enqueue packet to 44
[WARN]	activateClassPrios called for class leafhostVID44
[WARN]	Class: leafhostVID44
[WARN]	   - burst size: 64000
[WARN]	   - cburst size: 64000
[WARN]	   - chackpoint time: 0.013194902678
[WARN]	   - level: 0
[WARN]	   - number of children: 0
[WARN]	   - parent class name: innerconnVID
[WARN]	   - current tokens: -573500
[WARN]	   - current ctokens: -515545
[WARN]	   - current class mode: 0
[WARN]	   - active priorities: 1;0;0;0;0;0;0;0;
[WARN]	   - leaf priority: 0
[WARN]	   - current queue level: 0
[WARN]	   - queue num: 44
[WARN]	Class: leafhostVID44
[WARN]	   - burst size: 64000
[WARN]	   - cburst size: 64000
[WARN]	   - chackpoint time: 0.013194902678
[WARN]	   - level: 0
[WARN]	   - number of children: 0
[WARN]	   - parent class name: innerconnVID
[WARN]	   - current tokens: -573500
[WARN]	   - current ctokens: -515545
[WARN]	   - current class mode: 0
[WARN]	   - active priorities: 1;0;0;0;0;0;0;0;
[WARN]	   - leaf priority: 0
[WARN]	   - current queue level: 0
[WARN]	   - queue num: 44
[WARN]	Self feeds for Level:  0
[WARN]	   - Self feed for priority 0: leafhostVID44 ; Next to dequeue: leafhostVID44
[WARN]	   - Self feed for priority 1:  Next to dequeue: None
[WARN]	   - Self feed for priority 2:  Next to dequeue: None
[WARN]	   - Self feed for priority 3:  Next to dequeue: None
[WARN]	   - Self feed for priority 4:  Next to dequeue: None
[WARN]	   - Self feed for priority 5:  Next to dequeue: None
[WARN]	   - Self feed for priority 6:  Next to dequeue: None
[WARN]	   - Self feed for priority 7:  Next to dequeue: None
[WARN]	Wait queue for level 0 contains 2 elements
[WARN]	The following class can send...
[WARN]	Class: leafhostVID44
[WARN]	   - burst size: 64000
[WARN]	   - cburst size: 64000
[WARN]	   - chackpoint time: 0.013194902678
[WARN]	   - level: 0
[WARN]	   - number of children: 0
[WARN]	   - parent class name: innerconnVID
[WARN]	   - current tokens: -573500
[WARN]	   - current ctokens: -515545
[WARN]	   - current class mode: 0
[WARN]	   - active priorities: 1;0;0;0;0;0;0;0;
[WARN]	   - leaf priority: 0
[WARN]	   - current queue level: 1
[WARN]	   - queue num: 44
[WARN]	Curr num packets to dequeue: 1; All packets: 1; Possible to dequeue: 44;
[WARN]	Self feeds for Level:  0
[WARN]	   - Self feed for priority 0: leafhostVID44 ; Next to dequeue: leafhostVID44
[WARN]	   - Self feed for priority 1:  Next to dequeue: None
[WARN]	   - Self feed for priority 2:  Next to dequeue: None
[WARN]	   - Self feed for priority 3:  Next to dequeue: None
[WARN]	   - Self feed for priority 4:  Next to dequeue: None
[WARN]	   - Self feed for priority 5:  Next to dequeue: None
[WARN]	   - Self feed for priority 6:  Next to dequeue: None
[WARN]	   - Self feed for priority 7:  Next to dequeue: None
[WARN]	Wait queue for level 0 contains 2 elements
[WARN]	doEvents: Considering class leafhostVID36 event lies in the future...
[WARN]	doEvents: Next event scheduled at 0.032648073228 but current time is 0.015710217878
[WARN]	doEvents: Wait queue for level 0: leafhostVID36(0.032648073228); leafhostSSH62(0.048408809144); 
[WARN]	Dequeue - testing: level = 0; priority = 0
[WARN]	Dequeue - Found class to dequeue on level 0 and priority 0
[WARN]	Checking class leafhostVID44
[WARN]	Could pop packet on class leafhostVID44!
[WARN]	Deactivate class called from htbDequeue!
[WARN]	deactivateClassPrios called for class leafhostVID44
[WARN]	Working on class leafhostVID44 now with mode 0
[WARN]	Class leafhostVID44 is with with mode 0 and is active on some priority!
[WARN]	Class is active on priority 0
[WARN]	Class was considered next to dequeue on level  0 and priority 0
[WARN]	Size 0 = 1
[WARN]	There was one or fewer classe in the self feed for level 0 and priority 0
[WARN]	Set next to dequeue to NULL
[WARN]	Erase class leafhostVID44 with with mode 0 from self feed on level 0 and priority 0
[WARN]	Diff is: 2515315; Packet Bytes: 47Used toks:587500Used ctoks:534091
[WARN]	Mode changed from 0 to 2
[WARN]	Expected class leafhostVID44 change at simtime 0.016180307878
[WARN]	Self feeds for Level:  0
[WARN]	   - Self feed for priority 0:  Next to dequeue: None
[WARN]	   - Self feed for priority 1:  Next to dequeue: None
[WARN]	   - Self feed for priority 2:  Next to dequeue: None
[WARN]	   - Self feed for priority 3:  Next to dequeue: None
[WARN]	   - Self feed for priority 4:  Next to dequeue: None
[WARN]	   - Self feed for priority 5:  Next to dequeue: None
[WARN]	   - Self feed for priority 6:  Next to dequeue: None
[WARN]	   - Self feed for priority 7:  Next to dequeue: None
[WARN]	Wait queue for level 0 contains 3 elements
[WARN]	Added leafhostVID44 to wait queue on level 0
[WARN]	Diff is: 64444; Packet Bytes: 47Used toks:7343.75Used ctoks:6676.14
[WARN]	Diff is: 64444; Packet Bytes: 47Used toks:1880Used ctoks:1880
[WARN]	Class: leafhostVID44
[WARN]	   - burst size: 64000
[WARN]	   - cburst size: 64000
[WARN]	   - chackpoint time: 0.015710217878
[WARN]	   - level: 0
[WARN]	   - number of children: 0
[WARN]	   - parent class name: innerconnVID
[WARN]	   - current tokens: -523500
[WARN]	   - current ctokens: -470090
[WARN]	   - current class mode: 2
[WARN]	   - active priorities: 0;0;0;0;0;0;0;0;
[WARN]	   - leaf priority: 0
[WARN]	   - current queue level: 1
[WARN]	   - queue num: 44
[WARN]	Self feeds for Level:  0
[WARN]	   - Self feed for priority 0:  Next to dequeue: None
[WARN]	   - Self feed for priority 1:  Next to dequeue: None
[WARN]	   - Self feed for priority 2:  Next to dequeue: None
[WARN]	   - Self feed for priority 3:  Next to dequeue: None
[WARN]	   - Self feed for priority 4:  Next to dequeue: None
[WARN]	   - Self feed for priority 5:  Next to dequeue: None
[WARN]	   - Self feed for priority 6:  Next to dequeue: None
[WARN]	   - Self feed for priority 7:  Next to dequeue: None
[WARN]	Wait queue for level 0 contains 3 elements
[WARN]	Inner feeds for Inner Class:  innerconnVID
[WARN]	   - Inner feed for priority 0:  Next to dequeue: None
[WARN]	   - Inner feed for priority 1:  Next to dequeue: None
[WARN]	   - Inner feed for priority 2:  Next to dequeue: None
[WARN]	   - Inner feed for priority 3:  Next to dequeue: None
[WARN]	   - Inner feed for priority 4:  Next to dequeue: None
[WARN]	   - Inner feed for priority 5:  Next to dequeue: None
[WARN]	   - Inner feed for priority 6:  Next to dequeue: None
[WARN]	   - Inner feed for priority 7:  Next to dequeue: None
[WARN]	Dequeue - The class to dequeue (level = 0; priority = 0) yielded a valid queue number 44 for dequeuing!
[WARN]	Dequeue - Queue index to dequeue returned: 44
** Event #414  t=0.015711317078  0% completed  (0% total)   baselineTestQoS.serverVID.ppp[0].ppp (Ppp, id=20807)
** Event #415  t=0.015711417078  0% completed  (0% total)   baselineTestQoS.router1.ppp[1].ppp (Ppp, id=20725)
** Event #416  t=0.015711417078  0% completed  (0% total)   baselineTestQoS.router1.ipv4.ip (Ipv4, id=20762)
** Event #417  t=0.015711417078  0% completed  (0% total)   baselineTestQoS.router1.ppp[0].ppp (Ppp, id=20294)
[WARN]	Curr num packets to dequeue: 0; All packets: 0; Possible to dequeue: 
[FATAL]	Enqueue packet to 44
[WARN]	activateClassPrios called for class leafhostVID44
[WARN]	Class: leafhostVID44
[WARN]	   - burst size: 64000
[WARN]	   - cburst size: 64000
[WARN]	   - chackpoint time: 0.015710217878
[WARN]	   - level: 0
[WARN]	   - number of children: 0
[WARN]	   - parent class name: innerconnVID
[WARN]	   - current tokens: -523500
[WARN]	   - current ctokens: -470090
[WARN]	   - current class mode: 2
[WARN]	   - active priorities: 1;0;0;0;0;0;0;0;
[WARN]	   - leaf priority: 0
[WARN]	   - current queue level: 0
[WARN]	   - queue num: 44
[WARN]	Expected class leafhostVID44 change at simtime 0.015711418078
[WARN]	Self feeds for Level:  0
[WARN]	   - Self feed for priority 0:  Next to dequeue: None
[WARN]	   - Self feed for priority 1:  Next to dequeue: None
[WARN]	   - Self feed for priority 2:  Next to dequeue: None
[WARN]	   - Self feed for priority 3:  Next to dequeue: None
[WARN]	   - Self feed for priority 4:  Next to dequeue: None
[WARN]	   - Self feed for priority 5:  Next to dequeue: None
[WARN]	   - Self feed for priority 6:  Next to dequeue: None
[WARN]	   - Self feed for priority 7:  Next to dequeue: None
[WARN]	Wait queue for level 0 contains 4 elements
[WARN]	Class: leafhostVID44
[WARN]	   - burst size: 64000
[WARN]	   - cburst size: 64000
[WARN]	   - chackpoint time: 0.015710217878
[WARN]	   - level: 0
[WARN]	   - number of children: 0
[WARN]	   - parent class name: innerconnVID
[WARN]	   - current tokens: -523500
[WARN]	   - current ctokens: -470090
[WARN]	   - current class mode: 2
[WARN]	   - active priorities: 1;0;0;0;0;0;0;0;
[WARN]	   - leaf priority: 0
[WARN]	   - current queue level: 0
[WARN]	   - queue num: 44
[WARN]	Self feeds for Level:  0
[WARN]	   - Self feed for priority 0:  Next to dequeue: None
[WARN]	   - Self feed for priority 1:  Next to dequeue: None
[WARN]	   - Self feed for priority 2:  Next to dequeue: None
[WARN]	   - Self feed for priority 3:  Next to dequeue: None
[WARN]	   - Self feed for priority 4:  Next to dequeue: None
[WARN]	   - Self feed for priority 5:  Next to dequeue: None
[WARN]	   - Self feed for priority 6:  Next to dequeue: None
[WARN]	   - Self feed for priority 7:  Next to dequeue: None
[WARN]	Wait queue for level 0 contains 4 elements
** Event #418  t=0.015712097878  0% completed  (0% total)   baselineTestQoS.router1.ppp[0].ppp (Ppp, id=20294)
[WARN]	Curr num packets to dequeue: 0; All packets: 1; Possible to dequeue: 
[WARN]	Next Event will be scheduled at 0.015812097878
** Event #419  t=0.015809782678  0% completed  (0% total)   baselineTestQoS.router0.ppp[0].ppp.queue.scheduler (HTBScheduler, id=17724)
[WARN]	Class mode should change from red now!
[WARN]	Curr num packets to dequeue: 0; All packets: 1; Possible to dequeue: 
[WARN]	Next Event will be scheduled at 0.015909782678
** Event #420  t=0.015812097878  0% completed  (0% total)   baselineTestQoS.router1.ppp[0].ppp.queue.scheduler (HTBScheduler, id=20722)
[WARN]	Class mode should change from red now!
[WARN]	Curr num packets to dequeue: 0; All packets: 1; Possible to dequeue: 
[WARN]	Next Event will be scheduled at 0.015912097878
** Event #421  t=0.015909782678  0% completed  (0% total)   baselineTestQoS.router0.ppp[0].ppp.queue.scheduler (HTBScheduler, id=17724)
[WARN]	Class mode should change from red now!
[WARN]	Curr num packets to dequeue: 0; All packets: 1; Possible to dequeue: 
[WARN]	Next Event will be scheduled at 0.016009782678
** Event #422  t=0.015912097878  0% completed  (0% total)   baselineTestQoS.router1.ppp[0].ppp.queue.scheduler (HTBScheduler, id=20722)
[WARN]	Class mode should change from red now!
[WARN]	Curr num packets to dequeue: 0; All packets: 1; Possible to dequeue: 
[WARN]	Next Event will be scheduled at 0.016012097878
** Event #423  t=0.016009782678  0% completed  (0% total)   baselineTestQoS.router0.ppp[0].ppp.queue.scheduler (HTBScheduler, id=17724)
[WARN]	Class mode should change from red now!
[WARN]	Curr num packets to dequeue: 0; All packets: 1; Possible to dequeue: 
[WARN]	Next Event will be scheduled at 0.016109782678
** Event #424  t=0.016012097878  0% completed  (0% total)   baselineTestQoS.router1.ppp[0].ppp.queue.scheduler (HTBScheduler, id=20722)
[WARN]	Class mode should change from red now!
[WARN]	Curr num packets to dequeue: 0; All packets: 1; Possible to dequeue: 
[WARN]	Next Event will be scheduled at 0.016112097878
** Event #425  t=0.016109782678  0% completed  (0% total)   baselineTestQoS.router0.ppp[0].ppp.queue.scheduler (HTBScheduler, id=17724)
[WARN]	Class mode should change from red now!
[WARN]	Curr num packets to dequeue: 0; All packets: 1; Possible to dequeue: 
[WARN]	Next Event will be scheduled at 0.016209782678
** Event #426  t=0.016112097878  0% completed  (0% total)   baselineTestQoS.router1.ppp[0].ppp.queue.scheduler (HTBScheduler, id=20722)
[WARN]	Class mode should change from red now!
[WARN]	Curr num packets to dequeue: 0; All packets: 1; Possible to dequeue: 
[WARN]	Next Event will be scheduled at 0.016212097878
** Event #427  t=0.016145773228  0% completed  (0% total)   baselineTestQoS.router0.ppp[0].ppp (Ppp, id=17296)
** Event #428  t=0.016145773228  0% completed  (0% total)   baselineTestQoS.router0.ipv4.ip (Ipv4, id=20260)
** Event #429  t=0.016145773228  0% completed  (0% total)   baselineTestQoS.router0.ppp[37].ppp (Ppp, id=17943)
** Event #430  t=0.016146149228  0% completed  (0% total)   baselineTestQoS.router0.ppp[37].ppp (Ppp, id=17943)
** Event #431  t=0.016146249228  0% completed  (0% total)   baselineTestQoS.hostVID[36].ppp[0].ppp (Ppp, id=2561)
** Event #432  t=0.016146249228  0% completed  (0% total)   baselineTestQoS.hostVID[36].ipv4.ip (Ipv4, id=2574)
** Event #433  t=0.016146249228  0% completed  (0% total)   baselineTestQoS.hostVID[36].tcp (Tcp, id=2554)
** Event #434  t=0.016209782678  0% completed  (0% total)   baselineTestQoS.router0.ppp[0].ppp.queue.scheduler (HTBScheduler, id=17724)
[WARN]	Class mode should change from red now!
[WARN]	Curr num packets to dequeue: 0; All packets: 1; Possible to dequeue: 
[WARN]	Next Event will be scheduled at 0.016309782678
** Event #435  t=0.016212097878  0% completed  (0% total)   baselineTestQoS.router1.ppp[0].ppp.queue.scheduler (HTBScheduler, id=20722)
[WARN]	Class mode should change from red now!
[WARN]	The following class can send...
[WARN]	Class: leafhostVID44
[WARN]	   - burst size: 64000
[WARN]	   - cburst size: 64000
[WARN]	   - chackpoint time: 0.015710217878
[WARN]	   - level: 0
[WARN]	   - number of children: 0
[WARN]	   - parent class name: innerconnVID
[WARN]	   - current tokens: -523500
[WARN]	   - current ctokens: -470090
[WARN]	   - current class mode: 2
[WARN]	   - active priorities: 1;0;0;0;0;0;0;0;
[WARN]	   - leaf priority: 0
[WARN]	   - current queue level: 1
[WARN]	   - queue num: 44
[WARN]	Curr num packets to dequeue: 1; All packets: 1; Possible to dequeue: 44;
[WARN]	Self feeds for Level:  0
[WARN]	   - Self feed for priority 0:  Next to dequeue: None
[WARN]	   - Self feed for priority 1:  Next to dequeue: None
[WARN]	   - Self feed for priority 2:  Next to dequeue: None
[WARN]	   - Self feed for priority 3:  Next to dequeue: None
[WARN]	   - Self feed for priority 4:  Next to dequeue: None
[WARN]	   - Self feed for priority 5:  Next to dequeue: None
[WARN]	   - Self feed for priority 6:  Next to dequeue: None
[WARN]	   - Self feed for priority 7:  Next to dequeue: None
[WARN]	Wait queue for level 0 contains 4 elements
[WARN]	Deactivate then activate!
[WARN]	Activate priorities for class: leafhostVID44 in new mode 1
[WARN]	activateClassPrios called for class leafhostVID44
[WARN]	Class: innerconnVID
[WARN]	   - burst size: 64000
[WARN]	   - cburst size: 64000
[WARN]	   - chackpoint time: 0.015710217878
[WARN]	   - level: 1
[WARN]	   - number of children: 80
[WARN]	   - parent class name: root
[WARN]	   - current tokens: -113117
[WARN]	   - current ctokens: -91158
[WARN]	   - current class mode: 2
[WARN]	   - active priorities: 1;0;0;0;0;0;0;0;
[WARN]	doEvents: Considering class leafhostVID44 in new mode 1
[WARN]	Expected class leafhostVID44 change at simtime 0.016233717878
[WARN]	Self feeds for Level:  0
[WARN]	   - Self feed for priority 0:  Next to dequeue: None
[WARN]	   - Self feed for priority 1:  Next to dequeue: None
[WARN]	   - Self feed for priority 2:  Next to dequeue: None
[WARN]	   - Self feed for priority 3:  Next to dequeue: None
[WARN]	   - Self feed for priority 4:  Next to dequeue: None
[WARN]	   - Self feed for priority 5:  Next to dequeue: None
[WARN]	   - Self feed for priority 6:  Next to dequeue: None
[WARN]	   - Self feed for priority 7:  Next to dequeue: None
[WARN]	Wait queue for level 0 contains 3 elements
[WARN]	doEvents: Considering class leafhostVID44 event lies in the future...
[WARN]	doEvents: Next event scheduled at 0.016233717878 but current time is 0.016212097878
[WARN]	doEvents: Wait queue for level 0: leafhostVID44(0.016233717878); leafhostVID36(0.032648073228); leafhostSSH62(0.048408809144); 
[WARN]	Dequeue - testing: level = 0; priority = 0
[WARN]	Dequeue - testing: level = 0; priority = 1
[WARN]	Dequeue - testing: level = 0; priority = 2
[WARN]	Dequeue - testing: level = 0; priority = 3
[WARN]	Dequeue - testing: level = 0; priority = 4
[WARN]	Dequeue - testing: level = 0; priority = 5
[WARN]	Dequeue - testing: level = 0; priority = 6
[WARN]	Dequeue - testing: level = 0; priority = 7
[WARN]	Self feeds for Level:  1
[WARN]	   - Self feed for priority 0:  Next to dequeue: None
[WARN]	   - Self feed for priority 1:  Next to dequeue: None
[WARN]	   - Self feed for priority 2:  Next to dequeue: None
[WARN]	   - Self feed for priority 3:  Next to dequeue: None
[WARN]	   - Self feed for priority 4:  Next to dequeue: None
[WARN]	   - Self feed for priority 5:  Next to dequeue: None
[WARN]	   - Self feed for priority 6:  Next to dequeue: None
[WARN]	   - Self feed for priority 7:  Next to dequeue: None
[WARN]	Wait queue for level 1 contains 1 elements
[WARN]	Deactivate then activate!
[WARN]	Activate priorities for class: innerconnVID in new mode 0
[WARN]	activateClassPrios called for class innerconnVID
[WARN]	Class: innerconnVID
[WARN]	   - burst size: 64000
[WARN]	   - cburst size: 64000
[WARN]	   - chackpoint time: 0.015710217878
[WARN]	   - level: 1
[WARN]	   - number of children: 80
[WARN]	   - parent class name: root
[WARN]	   - current tokens: -113117
[WARN]	   - current ctokens: -91158
[WARN]	   - current class mode: 0
[WARN]	   - active priorities: 1;0;0;0;0;0;0;0;
[WARN]	doEvents: Considering class innerconnVID in new mode 0
[WARN]	Dequeue - testing: level = 1; priority = 0
[WARN]	Dequeue - Found class to dequeue on level 1 and priority 0
[WARN]	Checking class leafhostVID44
[WARN]	Could pop packet on class leafhostVID44!
[WARN]	Deactivate class called from htbDequeue!
[WARN]	deactivateClassPrios called for class leafhostVID44
[WARN]	Working on class innerconnVID now with mode 0
[WARN]	Class innerconnVID is with with mode 0 and is active on some priority!
[WARN]	Class is active on priority 0
[WARN]	Class was considered next to dequeue on level  1 and priority 0
[WARN]	Size 1 = 1
[WARN]	There was one or fewer classe in the self feed for level 1 and priority 0
[WARN]	Set next to dequeue to NULL
[WARN]	Erase class innerconnVID with with mode 0 from self feed on level 1 and priority 0
[WARN]	Diff is: 501880; Packet Bytes: 1499Used toks:1.87375e+07Used ctoks:1.70341e+07
[WARN]	Mode changed from 1 to 2
[WARN]	Deleted leafhostVID44 from wait queue on level 0
[WARN]	Expected class leafhostVID44 change at simtime 0.033214397878
[WARN]	Self feeds for Level:  0
[WARN]	   - Self feed for priority 0:  Next to dequeue: None
[WARN]	   - Self feed for priority 1:  Next to dequeue: None
[WARN]	   - Self feed for priority 2:  Next to dequeue: None
[WARN]	   - Self feed for priority 3:  Next to dequeue: None
[WARN]	   - Self feed for priority 4:  Next to dequeue: None
[WARN]	   - Self feed for priority 5:  Next to dequeue: None
[WARN]	   - Self feed for priority 6:  Next to dequeue: None
[WARN]	   - Self feed for priority 7:  Next to dequeue: None
[WARN]	Wait queue for level 0 contains 3 elements
[WARN]	Added leafhostVID44 to wait queue on level 0
[WARN]	Diff is: 501880; Packet Bytes: 1499Used toks:234219Used ctoks:212926
[WARN]	Mode changed from 0 to 2
[WARN]	Expected class innerconnVID change at simtime 0.016361023878
[WARN]	Self feeds for Level:  1
[WARN]	   - Self feed for priority 0:  Next to dequeue: None
[WARN]	   - Self feed for priority 1:  Next to dequeue: None
[WARN]	   - Self feed for priority 2:  Next to dequeue: None
[WARN]	   - Self feed for priority 3:  Next to dequeue: None
[WARN]	   - Self feed for priority 4:  Next to dequeue: None
[WARN]	   - Self feed for priority 5:  Next to dequeue: None
[WARN]	   - Self feed for priority 6:  Next to dequeue: None
[WARN]	   - Self feed for priority 7:  Next to dequeue: None
[WARN]	Wait queue for level 1 contains 1 elements
[WARN]	Added innerconnVID to wait queue on level 1
[WARN]	Diff is: 501880; Packet Bytes: 1499Used toks:59960Used ctoks:59960
[WARN]	Class: leafhostVID44
[WARN]	   - burst size: 64000
[WARN]	   - cburst size: 64000
[WARN]	   - chackpoint time: 0.016212097878
[WARN]	   - level: 0
[WARN]	   - number of children: 0
[WARN]	   - parent class name: innerconnVID
[WARN]	   - current tokens: -21620
[WARN]	   - current ctokens: -17002300
[WARN]	   - current class mode: 2
[WARN]	   - active priorities: 0;0;0;0;0;0;0;0;
[WARN]	   - leaf priority: 0
[WARN]	   - current queue level: 1
[WARN]	   - queue num: 44
[WARN]	Self feeds for Level:  0
[WARN]	   - Self feed for priority 0:  Next to dequeue: None
[WARN]	   - Self feed for priority 1:  Next to dequeue: None
[WARN]	   - Self feed for priority 2:  Next to dequeue: None
[WARN]	   - Self feed for priority 3:  Next to dequeue: None
[WARN]	   - Self feed for priority 4:  Next to dequeue: None
[WARN]	   - Self feed for priority 5:  Next to dequeue: None
[WARN]	   - Self feed for priority 6:  Next to dequeue: None
[WARN]	   - Self feed for priority 7:  Next to dequeue: None
[WARN]	Wait queue for level 0 contains 3 elements
[WARN]	Inner feeds for Inner Class:  innerconnVID
[WARN]	   - Inner feed for priority 0:  Next to dequeue: None
[WARN]	   - Inner feed for priority 1:  Next to dequeue: None
[WARN]	   - Inner feed for priority 2:  Next to dequeue: None
[WARN]	   - Inner feed for priority 3:  Next to dequeue: None
[WARN]	   - Inner feed for priority 4:  Next to dequeue: None
[WARN]	   - Inner feed for priority 5:  Next to dequeue: None
[WARN]	   - Inner feed for priority 6:  Next to dequeue: None
[WARN]	   - Inner feed for priority 7:  Next to dequeue: None
[WARN]	Dequeue - The class to dequeue (level = 1; priority = 0) yielded a valid queue number 44 for dequeuing!
[WARN]	Dequeue - Queue index to dequeue returned: 44
** Event #436  t=0.016272057878  0% completed  (0% total)   baselineTestQoS.router1.ppp[0].ppp (Ppp, id=20294)
[WARN]	Curr num packets to dequeue: 0; All packets: 0; Possible to dequeue: 
** Event #437  t=0.016309782678  0% completed  (0% total)   baselineTestQoS.router0.ppp[0].ppp.queue.scheduler (HTBScheduler, id=17724)
[WARN]	Class mode should change from red now!
[WARN]	Curr num packets to dequeue: 0; All packets: 1; Possible to dequeue: 
[WARN]	Next Event will be scheduled at 0.016409782678
** Event #438  t=0.016409782678  0% completed  (0% total)   baselineTestQoS.router0.ppp[0].ppp.queue.scheduler (HTBScheduler, id=17724)
[WARN]	Class mode should change from red now!
[WARN]	Curr num packets to dequeue: 0; All packets: 1; Possible to dequeue: 
[WARN]	Next Event will be scheduled at 0.016509782678
** Event #439  t=0.016509782678  0% completed  (0% total)   baselineTestQoS.router0.ppp[0].ppp.queue.scheduler (HTBScheduler, id=17724)
[WARN]	Class mode should change from red now!
[WARN]	Curr num packets to dequeue: 0; All packets: 1; Possible to dequeue: 
[WARN]	Next Event will be scheduled at 0.016609782678
** Event #440  t=0.016609782678  0% completed  (0% total)   baselineTestQoS.router0.ppp[0].ppp.queue.scheduler (HTBScheduler, id=17724)
[WARN]	Class mode should change from red now!
[WARN]	Curr num packets to dequeue: 0; All packets: 1; Possible to dequeue: 
[WARN]	Next Event will be scheduled at 0.016709782678
** Event #441  t=0.016705733228  0% completed  (0% total)   baselineTestQoS.router0.ppp[0].ppp (Ppp, id=17296)
** Event #442  t=0.016705733228  0% completed  (0% total)   baselineTestQoS.router0.ipv4.ip (Ipv4, id=20260)
** Event #443  t=0.016705733228  0% completed  (0% total)   baselineTestQoS.router0.ppp[37].ppp (Ppp, id=17943)
** Event #444  t=0.016709782678  0% completed  (0% total)   baselineTestQoS.router0.ppp[0].ppp.queue.scheduler (HTBScheduler, id=17724)
[WARN]	Class mode should change from red now!
[WARN]	Curr num packets to dequeue: 0; All packets: 1; Possible to dequeue: 
[WARN]	Next Event will be scheduled at 0.016809782678
** Event #445  t=0.016712097878  0% completed  (0% total)   baselineTestQoS.router0.ppp[0].ppp (Ppp, id=17296)
** Event #446  t=0.016712097878  0% completed  (0% total)   baselineTestQoS.router0.ipv4.ip (Ipv4, id=20260)
** Event #447  t=0.016712097878  0% completed  (0% total)   baselineTestQoS.router0.ppp[45].ppp (Ppp, id=17991)
** Event #448  t=0.016712473878  0% completed  (0% total)   baselineTestQoS.router0.ppp[45].ppp (Ppp, id=17991)
** Event #449  t=0.016712573878  0% completed  (0% total)   baselineTestQoS.hostVID[44].ppp[0].ppp (Ppp, id=2841)
** Event #450  t=0.016712573878  0% completed  (0% total)   baselineTestQoS.hostVID[44].ipv4.ip (Ipv4, id=2854)
** Event #451  t=0.016712573878  0% completed  (0% total)   baselineTestQoS.hostVID[44].tcp (Tcp, id=2834)
** Event #452  t=0.016717725228  0% completed  (0% total)   baselineTestQoS.router0.ppp[37].ppp (Ppp, id=17943)
** Event #453  t=0.016717825228  0% completed  (0% total)   baselineTestQoS.hostVID[36].ppp[0].ppp (Ppp, id=2561)
** Event #454  t=0.016717825228  0% completed  (0% total)   baselineTestQoS.hostVID[36].ipv4.ip (Ipv4, id=2574)
